id;basket_state;expected_delivery_time;delivery_address
1;VALIDATED;2020-04-23T04:22:29;Borders Ergonomic plum
2;NOTFINISHED;2020-04-23T07:24:06;Czech Koruna
3;NOTFINISHED;2020-04-22T16:07:32;paradigms firewall
4;VALIDATED;2020-04-22T23:14:57;Cayman Islands Dollar
5;PAID;2020-04-22T20:46:49;Som Streamlined
6;PAID;2020-04-23T06:35:02;functionalities Ergonomic Concrete Sausages Stand-alone
7;PAID;2020-04-22T11:42:20;calculating Representative
8;PAID;2020-04-22T07:46:29;uniform Georgia
9;PAID;2020-04-23T00:07:24;Incredible
10;VALIDATED;2020-04-22T14:42:13;Global calculate Health
