id;name;surname;email;password;address;phone
1;Interactions Unbranded Plastic Sausages open system;virtual;"}@p.gFH";Rustic Soft Hat;Frozen Refined;"0321000680"
2;Iowa;fault-tolerant systems back-end;"M7P+@{..>aGu-*";CFA Franc BCEAO Quality-focused;users Ball Refined;"0287430302"
3;expedite connecting optimal;Berkshire;"6>nK@|P6[o.:-3J";Plastic Soft;impactful;"0980950645"
4;Wyoming Brook vortals;yellow invoice;"vy@ElcZ.jfaVe";Central copying;Arizona Unbranded Fresh Chair;"+33499687712"
5;adapter Singapore Dollar Licensed;deposit Manager;"F?q@d\O.QV%b";help-desk;Steel;"0828820836"
6;New Taiwan Dollar incubate XML;parsing Graphical User Interface Organized;"Z0m7@e0FS.+YHg5";capacity quantify;Pre-emptive Heights next-generation;"0725966237"
7;Refined Massachusetts US Dollar;Home Loan Account Movies;"*F;Oq@].I^QWhx";transmitter;Georgia visionary Vanuatu;"0432940847"
8;Seychelles;granular;"~\dw@QPq]a!.J";Zambian Kwacha enhance Grass-roots;indexing Mouse Data;"+33973731276"
9;Belgium;redundant implement;"l@J|d8X.M";user-centric user-facing Checking Account;port Plastic;"0323554281"
10;index Forward;Concrete Ecuador impactful;"\JHb@Nsoy_Y.L/35";Regional Supervisor;3rd generation;"+33532607225"
